/file/	C:\Users\Федор\Desktop\Ю4-6_ЭН\Пример плана Ю4-6_Э1.dwg
//HANDLE	NAME_BLOCK	NAME_INSIDE	LAYER	POINT	ANGLE	Массштаб	Distance1	Angle1	Position1 X	Position1 Y	H_Text	Angle2	N_PYLON	GROUP	POWER	TYPE	NAME	MANUFACTURER	SPECIFICATION_SECTION
2587B8	опора_промежуточная 0.4	*U390	ЭО_Пл_Опора	(1.03268e+008 1.04886e+008 0.0)	0	1:500	625.0	3.14159	-3058.69	3604.09	1500.0	0.100158	ПП-НО-1	гр.1			опора		
ED95E	опора_промежуточная 0.4	*U263	ЭО_Пл_Опора	(1.03377e+008 1.04834e+008 0.0)	0	1:500	625.0	3.14159	1058.46	-438.907	1500.0	0.100158	n1_52	гр.2			опора		
C1FAC	опора_промежуточная 0.4	*U66	ЭО_Пл_Опора	(1.03397e+008 1.04868e+008 0.0)	0	1:500	625.0	3.14159	1132.29	-64.039	1500.0	0.100158	n1_62	гр.2			опора		
B7CF8	опора_промежуточная 0.4	*U278	ЭО_Пл_Опора	(1.03421e+008 1.04865e+008 0.0)	0	1:500	625.0	3.14159	1916.89	-468.425	1500.0	0.100158	n1_63	гр.2			опора		
B7CDE	опора_промежуточная 0.4	*U61	ЭО_Пл_Опора	(1.0341e+008 1.04865e+008 0.0)	0	1:500	625.0	3.14159	-6067.47	-2800.21	1500.0	0.100158	n1_61	гр.2			опора		
B7CC4	опора_промежуточная 0.4	*U60	ЭО_Пл_Опора	(1.03414e+008 1.04857e+008 0.0)	0	1:500	625.0	3.14159	-695.318	2816.06	1500.0	0.100158	n1_60	гр.2			опора		
B7CAA	опора_промежуточная 0.4	*U281	ЭО_Пл_Опора	(1.03422e+008 1.04852e+008 -570.131)	0	1:500	625.0	3.14159	1970.67	-1654.7	1500.0	0.100158	n1_59	гр.2			опора		
B7C76	опора_промежуточная 0.4	*U62	ЭО_Пл_Опора	(1.03422e+008 1.04838e+008 0.0)	0	1:500	625.0	3.14159	1413.95	-796.227	1500.0	0.100158	n1_58	гр.2			опора		
B5C4E	опора_промежуточная 0.4	*U262	ЭО_Пл_Опора	(1.03344e+008 1.04802e+008 0.0)	0	1:500	625.0	3.14159	1466.72	-1955.46	1500.0	0.100158	n1_48	гр.2			опора		
B5C34	опора_промежуточная 0.4	*U302	ЭО_Пл_Опора	(1.03345e+008 1.04816e+008 0.0)	0	1:500	625.0	3.14159	-1051.24	-2734.28	1500.0	0.100158	n1_49	гр.2			опора		
B5C1A	опора_промежуточная 0.4	*U286	ЭО_Пл_Опора	(1.03352e+008 1.04828e+008 0.0)	0	1:500	625.0	3.14159	-7209.92	645.8	1500.0	0.100158	n1_50	гр.2			опора		
B5BE6	опора_промежуточная 0.4	*U285	ЭО_Пл_Опора	(1.0336e+008 1.04827e+008 0.0)	0	1:500	625.0	3.68867	-999.303	3612.61	1500.0	0.100158	n1_51	гр.2			опора		
B5BCC	опора_промежуточная 0.4	*U63	ЭО_Пл_Опора	(1.03374e+008 1.04819e+008 0.0)	0	1:500	625.0	3.14159	1148.34	-1225.94	1500.0	0.100158	n1_53	гр.2			опора		
B5BB2	опора_промежуточная 0.4	*U64	ЭО_Пл_Опора	(1.03394e+008 1.04831e+008 0.0)	0	1:500	625.0	3.14159	1945.77	-1405.12	1500.0	0.100158	n1_56	гр.2			опора		
