/file/	C:\Users\Федор\Desktop\Ю4-6_ЭН\Ю4-6_РД_ЭН_План наружного освещения.dwg
//HANDLE	NAME_BLOCK	NAME_INSIDE	LAYER	POINT	ANGLE	Массштаб	Distance1	Angle1	Position1 X	Position1 Y	H_Text	Angle2	N_PYLON	GROUP	POWER	TYPE	NAME	MANUFACTURER	SPECIFICATION_SECTION
F6D81	опора_промежуточная 0.4	*U16	ЭО_Пл_Опора	(1.03718e+008 1.05111e+008 0.0)	0	1:500	625.0	4.37449	4190.12	-796.133	1500.0	2.33166	n				опора		
ED95E	опора_промежуточная 0.4	*U381	ЭО_Пл_Опора	(1.03377e+008 1.04834e+008 0.0)	0	1:500	625.0	3.14159	1058.46	-438.907	1500.0	0.100158	n1_52				опора		
C4062	опора_промежуточная 0.4	*U152	ЭО_Пл_Опора	(1.03547e+008 1.04986e+008 0.0001628)	0	1:500	625.0	3.14159	1098.26	-1520.19	1500.0	0.100158	N2_30				опора		
C1FAC	опора_промежуточная 0.4	*U124	ЭО_Пл_Опора	(1.03397e+008 1.04868e+008 0.0)	0	1:500	625.0	3.14159	1132.29	-64.039	1500.0	0.100158	n1_62				опора		
B7CF8	опора_промежуточная 0.4	*U396	ЭО_Пл_Опора	(1.03421e+008 1.04865e+008 0.0)	0	1:500	625.0	3.14159	1916.89	-468.425	1500.0	0.100158	n1_63				опора		
B7CDE	опора_промежуточная 0.4	*U117	ЭО_Пл_Опора	(1.0341e+008 1.04865e+008 0.0)	0	1:500	625.0	3.14159	-6067.47	-2800.21	1500.0	0.100158	n1_61				опора		
B7CC4	опора_промежуточная 0.4	*U116	ЭО_Пл_Опора	(1.03414e+008 1.04857e+008 0.0)	0	1:500	625.0	3.14159	-695.318	2816.06	1500.0	0.100158	n1_60				опора		
B7CAA	опора_промежуточная 0.4	*U399	ЭО_Пл_Опора	(1.03422e+008 1.04852e+008 -570.131)	0	1:500	625.0	3.14159	1970.67	-1654.7	1500.0	0.100158	n1_59				опора		
B7C76	опора_промежуточная 0.4	*U118	ЭО_Пл_Опора	(1.03422e+008 1.04838e+008 0.0)	0	1:500	625.0	3.14159	1413.95	-796.227	1500.0	0.100158	n1_58				опора		
B5C4E	опора_промежуточная 0.4	*U380	ЭО_Пл_Опора	(1.03344e+008 1.04802e+008 0.0)	0	1:500	625.0	3.14159	1466.72	-1955.46	1500.0	0.100158	n1_48				опора		
B5C34	опора_промежуточная 0.4	*U438	ЭО_Пл_Опора	(1.03345e+008 1.04816e+008 0.0)	0	1:500	625.0	3.14159	-1051.24	-2734.28	1500.0	0.100158	n1_49				опора		
B5C1A	опора_промежуточная 0.4	*U407	ЭО_Пл_Опора	(1.03352e+008 1.04828e+008 0.0)	0	1:500	625.0	3.14159	-7209.92	645.8	1500.0	0.100158	n1_50				опора		
B5BE6	опора_промежуточная 0.4	*U406	ЭО_Пл_Опора	(1.0336e+008 1.04827e+008 0.0)	0	1:500	625.0	3.68867	-999.303	3612.61	1500.0	0.100158	n1_51				опора		
B5BCC	опора_промежуточная 0.4	*U119	ЭО_Пл_Опора	(1.03374e+008 1.04819e+008 0.0)	0	1:500	625.0	3.14159	1148.34	-1225.94	1500.0	0.100158	n1_53				опора		
B5BB2	опора_промежуточная 0.4	*U120	ЭО_Пл_Опора	(1.03394e+008 1.04831e+008 0.0)	0	1:500	625.0	3.14159	1945.77	-1405.12	1500.0	0.100158	n1_56				опора		
B5B98	опора_промежуточная 0.4	*U25	ЭО_Пл_Опора	(1.03383e+008 1.04849e+008 0.0)	0	1:500	625.0	3.14159	-1382.53	1600.59	1500.0	0.100158	n1_47				опора		
B5A2D	опора_промежуточная 0.4	*U114	ЭО_Пл_Опора	(1.03437e+008 1.05015e+008 0.0)	0	1:500	625.0	3.14159	548.102	-1629.34	1500.0	0.100158	N2_17				опора		
B5874	опора_промежуточная 0.4	*U122	ЭО_Пл_Опора	(1.03443e+008 1.0517e+008 0.0)	0	1:500	625.0	3.14159	1274.38	-377.447	1500.0	0.100158	n2_26				опора		
B585A	опора_промежуточная 0.4	*U113	ЭО_Пл_Опора	(1.03448e+008 1.05179e+008 0.0)	0	1:500	625.0	3.14159	-4226.46	1315.03	1500.0	0.100158	n2_25				опора		
B3654	опора_промежуточная 0.4	*U112	ЭО_Пл_Опора	(1.03399e+008 1.04928e+008 0.0)	0	1:500	625.0	3.14159	1184.89	608.177	1500.0	0.100158	n1_78				опора		
B1633	опора_промежуточная 0.4	*U225	ЭО_Пл_Опора	(1.03402e+008 1.0494e+008 1.13687e-013)	0	1:500	625.0	3.14159	2592.04	-1571.94	1500.0	0.100158	N1_76				опора		
B1619	опора_промежуточная 0.4	*U226	ЭО_Пл_Опора	(1.03391e+008 1.04955e+008 1.13687e-013)	0	1:500	625.0	3.14159	2661.7	-878.726	1500.0	0.100158	N1_77				опора		
B13D1	опора_промежуточная 0.4	*U224	ЭО_Пл_Опора	(1.03397e+008 1.04913e+008 1.13687e-013)	0	1:500	625.0	3.14159	2099.71	-415.774	1500.0	0.100158	N1_72				опора		
AF31C	опора_промежуточная 0.4	*U44	ЭО_Пл_Опора	(1.03293e+008 1.04942e+008 0.0)	0	1:500	625.0	3.14159	578.364	606.05	1500.0	0.100158	N1_15				опора		
AAF85	опора_промежуточная 0.4	*U410	ЭО_Пл_Опора	(1.03389e+008 1.04981e+008 0.0)	0	1:500	625.0	3.14159	645.822	950.638	1500.0	0.100158	N2_01				опора		
AAF47	опора_промежуточная 0.4	*U411	ЭО_Пл_Опора	(1.03365e+008 1.04978e+008 0.0)	0	1:500	625.0	3.14159	846.852	914.031	1500.0	0.100158	N2_02				опора		
AADF1	опора_промежуточная 0.4	*U55	ЭО_Пл_Опора	(1.03418e+008 1.04911e+008 570.131)	0	1:500	625.0	3.14159	863.884	675.334	1500.0	0.100158	N1_80				опора		
AADB7	опора_промежуточная 0.4	*U55	ЭО_Пл_Опора	(1.03418e+008 1.04936e+008 0.0)	0	1:500	625.0	3.14159	863.884	675.334	1500.0	0.100158	N1_81				опора		
AAC5C	опора_промежуточная 0.4	*U70	ЭО_Пл_Опора	(1.03187e+008 1.05055e+008 0.0)	0	1:500	625.0	3.14159	821.678	1027.61	1500.0	0.100158	N2_66				опора		
AAC22	опора_промежуточная 0.4	*U70	ЭО_Пл_Опора	(1.03187e+008 1.0503e+008 0.0)	0	1:500	625.0	3.14159	821.678	1027.61	1500.0	0.100158	N2_65				опора		
AABE8	опора_промежуточная 0.4	*U70	ЭО_Пл_Опора	(1.03187e+008 1.05005e+008 0.0)	0	1:500	625.0	3.14159	821.678	1027.61	1500.0	0.100158	N2_64				опора		
AAB6F	опора_промежуточная 0.4	*U70	ЭО_Пл_Опора	(1.03187e+008 1.0498e+008 0.0)	0	1:500	625.0	3.14159	821.678	1027.61	1500.0	0.100158	N2_63				опора		
A8AFA	опора_промежуточная 0.4	*U146	ЭО_Пл_Опора	(1.0345e+008 1.05163e+008 0.0)	0	1:500	625.0	3.14159	1084.06	571.829	1500.0	0.100158	N2_23				опора		
A8AC0	опора_промежуточная 0.4	*U56	ЭО_Пл_Опора	(1.0345e+008 1.05138e+008 0.0)	0	1:500	625.0	3.14159	930.487	910.42	1500.0	0.100158	N2_22				опора		
A8A86	опора_промежуточная 0.4	*U149	ЭО_Пл_Опора	(1.0345e+008 1.05113e+008 0.0)	0	1:500	625.0	3.14159	804.006	825.516	1500.0	0.100158	N2_21				опора		
A8A4C	опора_промежуточная 0.4	*U148	ЭО_Пл_Опора	(1.0345e+008 1.05088e+008 0.0)	0	1:500	625.0	3.14159	995.233	1063.65	1500.0	0.100158	N2_20				опора		
A8A12	опора_промежуточная 0.4	*U147	ЭО_Пл_Опора	(1.0345e+008 1.05063e+008 0.0)	0	1:500	625.0	3.14159	836.966	698.298	1500.0	0.100158	N2_19				опора		
A8959	опора_промежуточная 0.4	*U155	ЭО_Пл_Опора	(1.03525e+008 1.04986e+008 0.0)	0	1:500	625.0	3.14159	1144.42	-1949.94	1500.0	0.100158	N2_29				опора		
A88FF	опора_промежуточная 0.4	*U156	ЭО_Пл_Опора	(1.035e+008 1.04986e+008 0.0)	0	1:500	625.0	3.14159	1226.23	-1734.76	1500.0	0.100158	N2_28				опора		
